## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,AvgQueueSize,-1.000000,-1.000000,Results,3.999915,19.999325,101
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.200004,0.200004
Dist,1.000000,0.160002,0.360006
Dist,2.000000,0.128001,0.488007
Dist,3.000000,0.102400,0.590407
Dist,4.000000,0.081920,0.672327
Dist,5.000000,0.065536,0.737863
Dist,6.000000,0.052428,0.790291
Dist,7.000000,0.041942,0.832234
Dist,8.000000,0.033554,0.865788
Dist,9.000000,0.026843,0.892630
Dist,10.000000,0.021474,0.914105
Dist,11.000000,0.017179,0.931284
Dist,12.000000,0.013743,0.945027
Dist,13.000000,0.010995,0.956022
Dist,14.000000,0.008796,0.964818
Dist,15.000000,0.007037,0.971854
Dist,16.000000,0.005629,0.977484
Dist,17.000000,0.004503,0.981987
Dist,18.000000,0.003603,0.985590
Dist,19.000000,0.002882,0.988472
Dist,20.000000,0.002306,0.990777
Dist,21.000000,0.001845,0.992622
Dist,22.000000,0.001476,0.994098
Dist,23.000000,0.001180,0.995278
Dist,24.000000,0.000944,0.996222
Dist,25.000000,0.000756,0.996978
Dist,26.000000,0.000604,0.997582
Dist,27.000000,0.000484,0.998066
Dist,28.000000,0.000387,0.998453
Dist,29.000000,0.000309,0.998762
Dist,30.000000,0.000248,0.999010
Dist,31.000000,0.000198,0.999208
Dist,32.000000,0.000158,0.999366
Dist,33.000000,0.000127,0.999493
Dist,34.000000,0.000101,0.999594
Dist,35.000000,0.000081,0.999675
Dist,36.000000,0.000065,0.999740
Dist,37.000000,0.000052,0.999792
Dist,38.000000,0.000042,0.999834
Dist,39.000000,0.000033,0.999867
Dist,40.000000,0.000027,0.999894
Dist,41.000000,0.000021,0.999915
Dist,42.000000,0.000017,0.999932
Dist,43.000000,0.000014,0.999946
Dist,44.000000,0.000011,0.999956
Dist,45.000000,0.000009,0.999965
Dist,46.000000,0.000007,0.999972
Dist,47.000000,0.000006,0.999978
Dist,48.000000,0.000004,0.999982
Dist,49.000000,0.000004,0.999986
Dist,50.000000,0.000003,0.999989
Dist,51.000000,0.000002,0.999991
Dist,52.000000,0.000002,0.999993
Dist,53.000000,0.000001,0.999994
Dist,54.000000,0.000001,0.999995
Dist,55.000000,0.000001,0.999996
Dist,56.000000,0.000001,0.999997
Dist,57.000000,0.000001,0.999998
Dist,58.000000,0.000000,0.999998
Dist,59.000000,0.000000,0.999998
Dist,60.000000,0.000000,0.999999
Dist,61.000000,0.000000,0.999999
Dist,62.000000,0.000000,0.999999
Dist,63.000000,0.000000,0.999999
Dist,64.000000,0.000000,0.999999
Dist,65.000000,0.000000,1.000000
Dist,66.000000,0.000000,1.000000
Dist,67.000000,0.000000,1.000000
Dist,68.000000,0.000000,1.000000
Dist,69.000000,0.000000,1.000000
Dist,70.000000,0.000000,1.000000
Dist,71.000000,0.000000,1.000000
Dist,72.000000,0.000000,1.000000
Dist,73.000000,0.000000,1.000000
Dist,74.000000,0.000000,1.000000
Dist,75.000000,0.000000,1.000000
Dist,76.000000,0.000000,1.000000
Dist,77.000000,0.000000,1.000000
Dist,78.000000,0.000000,1.000000
Dist,79.000000,0.000000,1.000000
Dist,80.000000,0.000000,1.000000
Dist,81.000000,0.000000,1.000000
Dist,82.000000,0.000000,1.000000
Dist,83.000000,0.000000,1.000000
Dist,84.000000,0.000000,1.000000
Dist,85.000000,0.000000,1.000000
Dist,86.000000,0.000000,1.000000
Dist,87.000000,0.000000,1.000000
Dist,88.000000,0.000000,1.000000
Dist,89.000000,0.000000,1.000000
Dist,90.000000,0.000000,1.000000
Dist,91.000000,0.000000,1.000000
Dist,92.000000,0.000000,1.000000
Dist,93.000000,0.000000,1.000000
Dist,94.000000,0.000000,1.000000
Dist,95.000000,0.000000,1.000000
Dist,96.000000,0.000000,1.000000
Dist,97.000000,0.000000,1.000000
Dist,98.000000,0.000000,1.000000
Dist,99.000000,0.000000,1.000000
Dist,100.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,AvgPeerDistance,-1.000000,-1.000000,Results,2.000000,1.000000,5
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.400000,0.400000
Dist,2.000000,0.300000,0.700000
Dist,3.000000,0.200000,0.900000
Dist,4.000000,0.100000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,BlockingProbability,-1.000000,-1.000000,Results,0.000000,0.000000,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,1.000000,1.000000
Dist,1.000000,0.000000,1.000000

