## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,AvgQueueSize,-1.000000,-1.000000,Results,10.326378,116.322293,101
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.088236,0.088236
Dist,1.000000,0.080451,0.168687
Dist,2.000000,0.073353,0.242039
Dist,3.000000,0.066881,0.308920
Dist,4.000000,0.060980,0.369900
Dist,5.000000,0.055600,0.425499
Dist,6.000000,0.050694,0.476194
Dist,7.000000,0.046221,0.522415
Dist,8.000000,0.042143,0.564558
Dist,9.000000,0.038425,0.602983
Dist,10.000000,0.035035,0.638018
Dist,11.000000,0.031944,0.669962
Dist,12.000000,0.029125,0.699087
Dist,13.000000,0.026556,0.725643
Dist,14.000000,0.024213,0.749856
Dist,15.000000,0.022076,0.771932
Dist,16.000000,0.020129,0.792061
Dist,17.000000,0.018353,0.810413
Dist,18.000000,0.016733,0.827147
Dist,19.000000,0.015257,0.842404
Dist,20.000000,0.013911,0.856315
Dist,21.000000,0.012684,0.868999
Dist,22.000000,0.011565,0.880563
Dist,23.000000,0.010544,0.891107
Dist,24.000000,0.009614,0.900721
Dist,25.000000,0.008766,0.909487
Dist,26.000000,0.007992,0.917480
Dist,27.000000,0.007287,0.924767
Dist,28.000000,0.006644,0.931411
Dist,29.000000,0.006058,0.937469
Dist,30.000000,0.005524,0.942993
Dist,31.000000,0.005036,0.948029
Dist,32.000000,0.004592,0.952621
Dist,33.000000,0.004187,0.956807
Dist,34.000000,0.003817,0.960625
Dist,35.000000,0.003481,0.964105
Dist,36.000000,0.003174,0.967279
Dist,37.000000,0.002894,0.970173
Dist,38.000000,0.002638,0.972811
Dist,39.000000,0.002405,0.975216
Dist,40.000000,0.002193,0.977409
Dist,41.000000,0.002000,0.979409
Dist,42.000000,0.001823,0.981233
Dist,43.000000,0.001662,0.982895
Dist,44.000000,0.001516,0.984411
Dist,45.000000,0.001382,0.985793
Dist,46.000000,0.001260,0.987053
Dist,47.000000,0.001149,0.988202
Dist,48.000000,0.001048,0.989250
Dist,49.000000,0.000955,0.990205
Dist,50.000000,0.000871,0.991076
Dist,51.000000,0.000794,0.991870
Dist,52.000000,0.000724,0.992594
Dist,53.000000,0.000660,0.993254
Dist,54.000000,0.000602,0.993856
Dist,55.000000,0.000549,0.994405
Dist,56.000000,0.000500,0.994905
Dist,57.000000,0.000456,0.995361
Dist,58.000000,0.000416,0.995777
Dist,59.000000,0.000379,0.996156
Dist,60.000000,0.000346,0.996502
Dist,61.000000,0.000315,0.996818
Dist,62.000000,0.000288,0.997105
Dist,63.000000,0.000262,0.997367
Dist,64.000000,0.000239,0.997606
Dist,65.000000,0.000218,0.997824
Dist,66.000000,0.000199,0.998023
Dist,67.000000,0.000181,0.998204
Dist,68.000000,0.000165,0.998369
Dist,69.000000,0.000151,0.998520
Dist,70.000000,0.000137,0.998657
Dist,71.000000,0.000125,0.998782
Dist,72.000000,0.000114,0.998897
Dist,73.000000,0.000104,0.999001
Dist,74.000000,0.000095,0.999096
Dist,75.000000,0.000087,0.999182
Dist,76.000000,0.000079,0.999261
Dist,77.000000,0.000072,0.999333
Dist,78.000000,0.000066,0.999399
Dist,79.000000,0.000060,0.999458
Dist,80.000000,0.000055,0.999513
Dist,81.000000,0.000050,0.999563
Dist,82.000000,0.000045,0.999608
Dist,83.000000,0.000041,0.999649
Dist,84.000000,0.000038,0.999687
Dist,85.000000,0.000034,0.999721
Dist,86.000000,0.000031,0.999753
Dist,87.000000,0.000029,0.999781
Dist,88.000000,0.000026,0.999808
Dist,89.000000,0.000024,0.999831
Dist,90.000000,0.000022,0.999853
Dist,91.000000,0.000020,0.999873
Dist,92.000000,0.000018,0.999891
Dist,93.000000,0.000017,0.999908
Dist,94.000000,0.000015,0.999923
Dist,95.000000,0.000014,0.999937
Dist,96.000000,0.000013,0.999950
Dist,97.000000,0.000012,0.999963
Dist,98.000000,0.000012,0.999975
Dist,99.000000,0.000012,0.999987
Dist,100.000000,0.000013,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,AvgPeerDistance,-1.000000,-1.000000,Results,6.285714,7.632653,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,-0.000000,-0.000000
Dist,1.000000,0.057143,0.057143
Dist,2.000000,0.066667,0.123810
Dist,3.000000,0.076190,0.200000
Dist,4.000000,0.085714,0.285714
Dist,5.000000,0.095238,0.380952
Dist,6.000000,0.104762,0.485714
Dist,7.000000,0.114286,0.600000
Dist,8.000000,0.123810,0.723810
Dist,9.000000,0.133333,0.857143
Dist,10.000000,0.142857,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,BlockingProbability,-1.000000,-1.000000,Results,0.000013,0.000013,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.999987,0.999987
Dist,1.000000,0.000013,1.000000

