## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,AvgQueueSize,-1.000000,-1.000000,Results,95.650239,32.814487,101
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.000000,0.000000
Dist,2.000000,0.000000,0.000000
Dist,3.000000,0.000000,0.000000
Dist,4.000000,0.000000,0.000000
Dist,5.000000,0.000000,0.000000
Dist,6.000000,0.000000,0.000000
Dist,7.000000,0.000000,0.000000
Dist,8.000000,0.000000,0.000000
Dist,9.000000,0.000000,0.000000
Dist,10.000000,0.000000,0.000000
Dist,11.000000,0.000000,0.000000
Dist,12.000000,0.000000,0.000000
Dist,13.000000,0.000000,0.000001
Dist,14.000000,0.000000,0.000001
Dist,15.000000,0.000000,0.000001
Dist,16.000000,0.000000,0.000001
Dist,17.000000,0.000000,0.000001
Dist,18.000000,0.000000,0.000001
Dist,19.000000,0.000000,0.000001
Dist,20.000000,0.000000,0.000002
Dist,21.000000,0.000000,0.000002
Dist,22.000000,0.000000,0.000002
Dist,23.000000,0.000000,0.000003
Dist,24.000000,0.000000,0.000003
Dist,25.000000,0.000001,0.000004
Dist,26.000000,0.000001,0.000005
Dist,27.000000,0.000001,0.000005
Dist,28.000000,0.000001,0.000006
Dist,29.000000,0.000001,0.000007
Dist,30.000000,0.000001,0.000009
Dist,31.000000,0.000002,0.000010
Dist,32.000000,0.000002,0.000012
Dist,33.000000,0.000002,0.000014
Dist,34.000000,0.000002,0.000017
Dist,35.000000,0.000003,0.000020
Dist,36.000000,0.000003,0.000023
Dist,37.000000,0.000004,0.000027
Dist,38.000000,0.000005,0.000032
Dist,39.000000,0.000006,0.000037
Dist,40.000000,0.000007,0.000044
Dist,41.000000,0.000008,0.000052
Dist,42.000000,0.000009,0.000061
Dist,43.000000,0.000011,0.000071
Dist,44.000000,0.000013,0.000084
Dist,45.000000,0.000015,0.000099
Dist,46.000000,0.000017,0.000116
Dist,47.000000,0.000020,0.000136
Dist,48.000000,0.000024,0.000160
Dist,49.000000,0.000028,0.000189
Dist,50.000000,0.000033,0.000222
Dist,51.000000,0.000039,0.000261
Dist,52.000000,0.000046,0.000306
Dist,53.000000,0.000054,0.000360
Dist,54.000000,0.000063,0.000423
Dist,55.000000,0.000074,0.000498
Dist,56.000000,0.000087,0.000585
Dist,57.000000,0.000103,0.000688
Dist,58.000000,0.000121,0.000809
Dist,59.000000,0.000142,0.000951
Dist,60.000000,0.000167,0.001118
Dist,61.000000,0.000196,0.001314
Dist,62.000000,0.000231,0.001545
Dist,63.000000,0.000271,0.001816
Dist,64.000000,0.000319,0.002135
Dist,65.000000,0.000375,0.002510
Dist,66.000000,0.000441,0.002951
Dist,67.000000,0.000518,0.003469
Dist,68.000000,0.000609,0.004078
Dist,69.000000,0.000716,0.004794
Dist,70.000000,0.000842,0.005636
Dist,71.000000,0.000990,0.006626
Dist,72.000000,0.001164,0.007789
Dist,73.000000,0.001368,0.009157
Dist,74.000000,0.001608,0.010766
Dist,75.000000,0.001891,0.012657
Dist,76.000000,0.002223,0.014880
Dist,77.000000,0.002614,0.017493
Dist,78.000000,0.003073,0.020566
Dist,79.000000,0.003613,0.024178
Dist,80.000000,0.004247,0.028426
Dist,81.000000,0.004994,0.033420
Dist,82.000000,0.005872,0.039292
Dist,83.000000,0.006905,0.046197
Dist,84.000000,0.008120,0.054317
Dist,85.000000,0.009551,0.063868
Dist,86.000000,0.011237,0.075105
Dist,87.000000,0.013223,0.088328
Dist,88.000000,0.015568,0.103896
Dist,89.000000,0.018340,0.122236
Dist,90.000000,0.021627,0.143863
Dist,91.000000,0.025539,0.169403
Dist,92.000000,0.030226,0.199629
Dist,93.000000,0.035894,0.235522
Dist,94.000000,0.042856,0.278378
Dist,95.000000,0.051628,0.330005
Dist,96.000000,0.063162,0.393168
Dist,97.000000,0.079462,0.472630
Dist,98.000000,0.105366,0.577996
Dist,99.000000,0.154246,0.732243
Dist,100.000000,0.267757,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,AvgPeerDistance,-1.000000,-1.000000,Results,5.500000,8.250000,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000000,0.000000
Dist,1.000000,0.100000,0.100000
Dist,2.000000,0.100000,0.200000
Dist,3.000000,0.100000,0.300000
Dist,4.000000,0.100000,0.400000
Dist,5.000000,0.100000,0.500000
Dist,6.000000,0.100000,0.600000
Dist,7.000000,0.100000,0.700000
Dist,8.000000,0.100000,0.800000
Dist,9.000000,0.100000,0.900000
Dist,10.000000,0.100000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,BlockingProbability,-1.000000,-1.000000,Results,0.267757,0.196063,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.732243,0.732243
Dist,1.000000,0.267757,1.000000

