## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,areward,10000.000000,10000.000000,Results,5.000000,10.000000,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.090909,0.090909
Dist,1.000000,0.090909,0.181818
Dist,2.000000,0.090909,0.272727
Dist,3.000000,0.090909,0.363636
Dist,4.000000,0.090909,0.454545
Dist,5.000000,0.090909,0.545455
Dist,6.000000,0.090909,0.636364
Dist,7.000000,0.090909,0.727273
Dist,8.000000,0.090909,0.818182
Dist,9.000000,0.090909,0.909091
Dist,10.000000,0.090909,1.000000

