## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,assreward,-1.000000,-1.000000,Results,0.994626,1.940860,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.500244,0.500244
Dist,1.000000,0.250122,0.750366
Dist,2.000000,0.125061,0.875427
Dist,3.000000,0.062531,0.937958
Dist,4.000000,0.031265,0.969223
Dist,5.000000,0.015633,0.984856
Dist,6.000000,0.007816,0.992672
Dist,7.000000,0.003908,0.996580
Dist,8.000000,0.001954,0.998534
Dist,9.000000,0.000977,0.999511
Dist,10.000000,0.000489,1.000000

